year,condition,cylinders,fuel,miles,status,transmission,drive,type,color,manufacturer,price_cad
2012.0,excellent,6 ,diesel,600000.0,clean,manual,rwd,truck,black,international,20264.0
2019.0,good,4 ,other,21883.0,clean,other,fwd,van,white,toyota,44322.4
2008.0,good,6 ,gas,189000.0,clean,automatic,4wd,SUV,other,ford,5433.200000000001
2010.0,unknown,4 ,diesel,180137.0,clean,automatic,4wd,pickup,unknown,chevrolet,39363.840000000004
2014.0,good,4 ,gas,78000.0,salvage,automatic,fwd,sedan,white,chevrolet,9513.2
1965.0,good,8 ,gas,79645.0,clean,automatic,rwd,pickup,black,chevrolet,21760.0
2016.0,good,6 ,gas,63378.0,clean,automatic,fwd,van,black,dodge,33864.0
1999.0,excellent,4 ,gas,79000.0,clean,automatic,rwd,convertible,black,mazda,8833.2
2018.0,good,4 ,gas,27121.0,clean,other,fwd,hatchback,white,kia,21746.4
2019.0,good,4 ,gas,2308.0,clean,other,fwd,hatchback,black,mazda,31266.4
2011.0,unknown,8 ,diesel,109280.0,clean,automatic,4wd,truck,unknown,gmc,613.36
2003.0,excellent,6 ,gas,89714.0,clean,automatic,rwd,SUV,other,chevrolet,8024.000000000001
2000.0,good,4 ,gas,168000.0,clean,automatic,4wd,hatchback,other,volvo,1904.0000000000002
2007.0,unknown,8 ,diesel,41088.0,clean,automatic,rwd,sedan,other,ford,25160.0
2016.0,good,4 ,gas,32573.0,clean,other,fwd,hatchback,other,Scion,21202.4
2015.0,good,8 ,gas,54799.0,clean,automatic,4wd,SUV,black,cadillac,58466.4
2017.0,unknown,8 ,gas,90170.0,clean,automatic,4wd,pickup,silver,chevrolet,48917.840000000004
2018.0,unknown,6 ,gas,34833.0,clean,automatic,4wd,SUV,unknown,ford,43513.200000000004
2020.0,like new,6 ,gas,1795.0,clean,automatic,4wd,SUV,other,porsche,101320.00000000001
2014.0,good,8 ,other,82140.0,clean,automatic,4wd,pickup,black,chevrolet,35346.4
2013.0,unknown,4 ,gas,147839.0,clean,automatic,4wd,pickup,black,ford,27144.24
